name,phone_number,email,location,services_offered
MumiasHealthEmergency,+254749567890,mumiashealth@gmail.com,"{'latitude':0.3347,'longitude':34.4881}",EmergencyMedicine|FirstAid|TraumaCare
MwatateEmergencyCare,+254760678901,mwatatecare@gmail.com,"{'latitude':-3.5050,'longitude':38.3772}",CriticalCare|EmergencySurgery|Ambulance
NandiHillsMedicalResponse,+254771789012,nandihillsresponse@yahoo.com,"{'latitude':0.1036,'longitude':35.1842}",FirstAid|EmergencyMedicine|TraumaCare
NanyukiEmergencyUnit,+254782890123,nanyukiemergency@gmail.com,"{'latitude':0.0167,'longitude':37.0833}",Ambulance|CriticalCare|EmergencySurgery
NaromoruHealthEmergency,+254793901234,naromoruhealth@gmail.com,"{'latitude':-0.1500,'longitude':37.0167}",EmergencyMedicine|FirstAid|TraumaCare
NyamiraMedicalEmergency,+254704123456,nyamiramedical@yahoo.com,"{'latitude':-0.5633,'longitude':34.9358}",EmergencySurgery|CriticalCare|Ambulance
OgemboEmergencyCare,+254715234567,ogembocare@gmail.com,"{'latitude':-0.8000,'longitude':34.7333}",TraumaCare|EmergencyMedicine|FirstAid
OyugisMedicalResponse,+254726345678,oyugisresponse@gmail.com,"{'latitude':-0.5114,'longitude':34.7308}",Ambulance|EmergencySurgery|CriticalCare
PortVictoriaEmergency,+254737456789,portvictoriaemergency@yahoo.com,"{'latitude':0.0981,'longitude':33.9714}",EmergencyMedicine|FirstAid|TraumaCare
RachuonyoHealthEmergency,+254748567890,rachuonyohealth@gmail.com,"{'latitude':-0.4333,'longitude':34.7333}",CriticalCare|EmergencySurgery|Ambulance
RuiruEmergencyCare,+254759678901,ruirucare@gmail.com,"{'latitude':-1.1488,'longitude':36.9578}",FirstAid|EmergencyMedicine|TraumaCare
RumurutiMedicalResponse,+254770789012,rumurutiresponse@yahoo.com,"{'latitude':0.2667,'longitude':36.5333}",Ambulance|CriticalCare|EmergencySurgery
SaganaEmergencyUnit,+254781890123,saganaemergency@gmail.com,"{'latitude':-0.6583,'longitude':37.2083}",EmergencyMedicine|FirstAid|TraumaCare
SamburuHealthEmergency,+254792901234,samburuhealth@gmail.com,"{'latitude':1.2167,'longitude':36.9333}",EmergencySurgery|CriticalCare|Ambulance
ShimoniMedicalEmergency,+254703123456,shimonimedical@yahoo.com,"{'latitude':-4.6500,'longitude':39.3833}",TraumaCare|EmergencyMedicine|FirstAid
SiakagoEmergencyCare,+254714234567,siakagocare@gmail.com,"{'latitude':-0.5833,'longitude':37.6333}",Ambulance|EmergencySurgery|CriticalCare
SindoMedicalResponse,+254725345678,sindoresponse@gmail.com,"{'latitude':-0.6714,'longitude':34.1489}",EmergencyMedicine|FirstAid|TraumaCare
SotikEmergencyServices,+254736456789,sotikemergency@yahoo.com,"{'latitude':-0.6914,'longitude':35.1197}",CriticalCare|EmergencySurgery|Ambulance
SunekaHealthEmergency,+254747567890,sunekahealth@gmail.com,"{'latitude':-0.7000,'longitude':34.7167}",FirstAid|EmergencyMedicine|TraumaCare
TabakaEmergencyCare,+254758678901,tabakacare@gmail.com,"{'latitude':-0.7500,'longitude':34.6667}",Ambulance|CriticalCare|EmergencySurgery
TambachMedicalResponse,+254769789012,tambachresponse@yahoo.com,"{'latitude':0.8333,'longitude':35.6333}",EmergencyMedicine|FirstAid|TraumaCare
TawaEmergencyUnit,+254780890123,tawaemergency@gmail.com,"{'latitude':-1.1833,'longitude':37.4833}",EmergencySurgery|CriticalCare|Ambulance
TimauHealthEmergency,+254791901234,timauhealth@gmail.com,"{'latitude':0.0914,'longitude':37.2506}",TraumaCare|EmergencyMedicine|FirstAid
UkwalaMedicalEmergency,+254702123456,ukwalamedical@yahoo.com,"{'latitude':0.2833,'longitude':34.1833}",Ambulance|EmergencySurgery|CriticalCare
UgunjaEmergencyCare,+254713234567,ugunjacare@gmail.com,"{'latitude':0.1500,'longitude':34.3000}",EmergencyMedicine|FirstAid|TraumaCare
UririMedicalResponse,+254724345678,uririresponse@gmail.com,"{'latitude':-1.0000,'longitude':34.5333}",CriticalCare|EmergencySurgery|Ambulance
UsengeEmergencyServices,+254735456789,usengeemergency@yahoo.com,"{'latitude':0.0667,'longitude':34.0500}",FirstAid|EmergencyMedicine|TraumaCare
VihigaHealthEmergency,+254746567890,vihigahealth@gmail.com,"{'latitude':0.0167,'longitude':34.7167}",Ambulance|CriticalCare|EmergencySurgery
WanguruEmergencyCare,+254757678901,wangurucare@gmail.com,"{'latitude':-0.7667,'longitude':37.3667}",EmergencyMedicine|FirstAid|TraumaCare
WoteMedicalResponse,+254768789012,woteresponse@yahoo.com,"{'latitude':-1.7833,'longitude':37.6333}",EmergencySurgery|CriticalCare|Ambulance
YalaEmergencyUnit,+254779890123,yalaemergency@gmail.com,"{'latitude':0.0833,'longitude':34.5333}",TraumaCare|EmergencyMedicine|FirstAid
ZombeHealthEmergency,+254790901234,zombehealth@gmail.com,"{'latitude':-1.5000,'longitude':38.0833}",Ambulance|EmergencySurgery|CriticalCare
BahatiMedicalEmergency,+254701123456,bahatimedical@yahoo.com,"{'latitude':-0.2667,'longitude':36.1500}",EmergencyMedicine|FirstAid|
