name,email,phone_number,operation_hours,location,services_offered,how_to_schedule_appointment,web3_wallet_address,booking_fee
Kakamega Forest Health Centre,hello@kakamegahealth.co.ke,+254712345008,Mon-Fri 8:00 AM - 5:00 PM,"{'latitude': 0.2833, 'longitude': 34.75}","['General Medicine', 'Pediatrics']",Contact via WhatsApp or call,0x1eE8Bb4dC5E921a1D4F234Eb946fD3B6C0E8298a,25
Kitale Regional Clinic,frontdesk@kitaleregional.co.ke,+254712345009,Mon-Sat 8:30 AM - 5:00 PM,"{'latitude': 1.0167, 'longitude': 35.0}","['Dental', 'Eye Clinic', 'Outpatient']",Book online or walk in,0x57a23Cf4A0Ac91D2c62Fad9391DfF442Cb404122,25
Meru Vision Medical Clinic,reception@meruvision.co.ke,+254712345010,Mon-Fri 9:00 AM - 6:00 PM,"{'latitude': 0.05, 'longitude': 37.65}","['Ophthalmology', 'Optical Services']",Fill request form on website,0xBc21dE7eEf0023b46A27F7D71f0013dBf67aEe92,20
Garissa East County Hospital,support@garissaeasthealth.co.ke,+254712345011,Mon-Fri 8:00 AM - 4:00 PM,"{'latitude': -0.4569, 'longitude': 39.6583}","['Maternal Care', 'Emergency Care', 'Radiology']",Walk-in or phone scheduling,0x3C9EdA447cF92Aa711E7E9Ee8Bc8AbfF93B3C009,30
Isiolo Urban Health Centre,care@isilohealth.co.ke,+254712345012,Mon-Sun 7:30 AM - 6:30 PM,"{'latitude': 0.3546, 'longitude': 37.5822}","['Outpatient', 'Dental Care', 'HIV Clinic']",USSD *455# or mobile app booking,0xB7A26aF2dA87E4ca5F9a13D5e0e9A22Cb23a19fE,20
Nyeri Highlands Hospital,info@nyerihighlands.co.ke,+254712345013,Mon-Sat 7:00 AM - 8:00 PM,"{'latitude': -0.4167, 'longitude': 36.95}","['Dental', 'Optical', 'General Consultation']",Online or by phone call,0xC43a7a9C93D931e3e96e5D77FbE3E112aB926EF2,22
Embu County Medical Centre,appointments@embucountymed.co.ke,+254712345014,24/7,"{'latitude': -0.5333, 'longitude': 37.45}","['Emergency', 'Surgery', 'Radiology']",Call reception or use county hospital app,0xaB712C31953B1EaE7C72d5a0Ee2937431F8b8030,20
Kericho Green Valley Clinic,contact@kerichogreenvalley.co.ke,+254712345015,Mon-Fri 8:00 AM - 5:00 PM,"{'latitude': -0.3667, 'longitude': 35.2833}","['Pediatrics', 'Dental', 'Outpatient']",SMS or web booking,0x3Fa9eE713FAc72e8EAbB17F8fa8CdCE514aEf182,25
Narok Savannah Health Centre,savannah@narokclinic.co.ke,+254712345016,Mon-Sat 8:00 AM - 6:00 PM,"{'latitude': -1.0833, 'longitude': 35.8667}","['General Practice', 'Eye Clinic', 'Vaccination']",Book through the Narok Health Link Portal,0x46B1C2E91f52E0e214C8EcC8AF23aF482b29C0Fd,15
Voi Sub-County Hospital,info@voisubcounty.co.ke,+254712345017,24/7,"{'latitude': -3.3954, 'longitude': 38.5632}","['Emergency', 'Surgery', 'Maternity']",Call main desk or schedule online,0xF5a7B91B32FfC1151F27AE3E513EEA12dC19Ec52,20
Naivasha Community Clinic,hello@naivashaclinic.co.ke,+254712345018,Mon-Sun 7:00 AM - 8:00 PM,"{'latitude': -0.7167, 'longitude': 36.4333}","['Outpatient', 'Lab Tests', 'Dental']",Call or WhatsApp reception,0xA35FacE491B8C3eF6b9bC2E7A3CED3983BaaC944,20
Migori West Medical Services,contact@migoriwestmed.co.ke,+254712345019,Mon-Sat 9:00 AM - 5:00 PM,"{'latitude': -1.0667, 'longitude': 34.4833}","['Maternity', 'Outpatient', 'Vaccination']",Online or county ehealth system,0xDaE1b4C9A2c8Efb2169E75458229177CdaeEd912,25
